rewards,stimuli,actions,sub
0,[0 0 1 1],1.8514004655552674,0
1,[1 1 0 1],1.4479307593234452,0
0,[0 0 1 1],0.6710040205899461,0
0,[0 0 1 1],1.062568266583511,0
0,[1 1 1 0],0.810066773802308,0
0,[1 1 0 1],0.9278631427961062,0
1,[1 1 1 0],0.29152321804536496,0
1,[1 1 1 0],1.133937112485387,0
1,[1 1 1 0],0.9437427613119833,0
1,[1 1 0 1],1.4776012768319151,0
0,[0 0 1 1],1.011627924162057,0
1,[1 1 1 0],0.799393097158908,0
0,[1 1 0 1],1.2686630739145515,0
0,[1 1 0 1],0.5804775877135383,0
0,[0 0 1 1],0.5204420974862821,0
1,[1 1 1 0],0.8137609201968453,0
1,[1 1 1 0],0.8215253939038677,0
1,[1 1 1 0],1.4476586576259212,0
1,[1 1 0 1],1.6913075477567467,0
0,[0 0 1 1],0.9244999147276847,0
0,[0 0 1 1],1.307365591126807,0
1,[1 1 1 0],0.713619310194269,0
1,[1 1 1 0],0.9674301257699617,0
1,[1 1 1 0],1.4166302943419569,0
0,[0 0 1 1],1.1087063312211318,0
1,[1 1 0 1],0.9829878903253607,0
1,[1 1 1 0],0.5982904608884935,0
0,[1 1 0 1],1.2039019976914278,0
1,[1 1 0 1],0.9973051013261589,0
1,[1 1 1 0],1.1802126085524238,0
1,[1 1 1 0],0.9388687360564978,0
0,[0 0 1 1],1.139723329255384,0
0,[1 1 0 1],1.3697599415946393,0
0,[1 1 0 1],1.0094400825369985,0
1,[1 1 1 0],0.505030256509007,0
0,[1 1 0 1],0.7873871788480457,0
0,[0 0 1 1],0.6336668642527887,0
0,[1 1 0 1],0.7226453002554967,0
0,[0 0 1 1],0.7075029695248949,0
0,[0 0 1 1],0.5701345501890224,0
0,[0 0 1 1],0.9350775380603542,0
0,[0 0 1 1],0.23441168516433086,0
1,[1 1 1 0],0.3819187181243856,0
1,[1 1 1 0],0.1760918396551658,0
1,[1 1 1 0],1.6459483610557504,0
0,[0 0 1 1],1.2738044978828866,0
0,[0 0 1 1],1.0590294458524754,0
1,[0 0 1 1],0.7014684941726136,0
1,[1 1 0 1],1.3468057511425375,0
1,[1 1 0 1],1.3261977846650006,0
1,[0 0 1 1],1.5641787518216324,0
1,[1 1 0 1],0.8792050947513752,0
