rewards,stimuli,actions,sub
0,[0 0 1 1],0.5492939716813656,0
1,[1 1 0 1],0.7645716463982378,0
0,[0 0 1 1],0.3476340210450132,0
0,[0 0 1 1],-0.24843225997943275,0
0,[1 1 1 0],1.1070287480417584,0
0,[1 1 0 1],1.1211058544082035,0
1,[1 1 1 0],1.6622509486650474,0
1,[1 1 1 0],0.8494002533774536,0
1,[1 1 1 0],0.692795956306359,0
1,[1 1 0 1],0.0962166356947819,0
0,[0 0 1 1],0.4356064095822086,0
1,[1 1 1 0],1.0268725675895678,0
0,[1 1 0 1],-0.05146245181718345,0
0,[1 1 0 1],0.11412197976297667,0
0,[0 0 1 1],-0.4834601007456599,0
1,[1 1 1 0],0.8434604629522517,0
1,[1 1 1 0],0.12752429729614784,0
1,[1 1 1 0],0.24242956152902198,0
1,[1 1 0 1],0.3451944630879969,0
0,[0 0 1 1],-0.534776772308999,0
0,[0 0 1 1],0.18852708817575334,0
1,[1 1 1 0],-0.347933569070294,0
1,[1 1 1 0],0.31630892390736604,0
1,[1 1 1 0],0.038359018415291074,0
0,[0 0 1 1],0.5165429630346334,0
1,[1 1 0 1],0.2609144032187935,0
1,[1 1 1 0],-0.8440800481114475,0
0,[1 1 0 1],0.49988581672838595,0
1,[1 1 0 1],-0.34782815096906927,0
1,[1 1 1 0],-0.07921851198427843,0
1,[1 1 1 0],-0.4228638064888576,0
0,[0 0 1 1],0.5746090742012135,0
0,[1 1 0 1],-0.03017495880067711,0
0,[1 1 0 1],0.74117908954655,0
1,[1 1 1 0],-0.2568803905414152,0
0,[1 1 0 1],0.17538930013044957,0
0,[0 0 1 1],0.4163916191854138,0
0,[1 1 0 1],0.743471373108479,0
0,[0 0 1 1],0.4961434890554368,0
0,[0 0 1 1],-0.31529617879887695,0
0,[0 0 1 1],0.4900760124336325,0
0,[0 0 1 1],0.35103910078879724,0
1,[1 1 1 0],-0.7788666223862267,0
1,[1 1 1 0],0.8646748039691344,0
1,[1 1 1 0],0.20104512374023376,0
0,[0 0 1 1],-0.6538600829767199,0
0,[0 0 1 1],-0.050118774336906084,0
1,[0 0 1 1],-0.5437382979407814,0
1,[1 1 0 1],0.028586726657551798,0
1,[1 1 0 1],0.2990810317454971,0
1,[0 0 1 1],-0.15533794310088836,0
1,[1 1 0 1],0.6441064914578574,0
0,[0 0 1 1],0.5847861052319452,0
1,[0 0 1 1],0.6033793073395484,0
0,[1 1 1 0],0.7966307398375297,0
0,[1 1 0 1],0.5949247353500329,0
0,[1 1 1 0],-0.24787186021774194,0
0,[1 1 1 0],-0.8529309078989022,0
0,[1 1 1 0],-0.4819119350986054,0
1,[1 1 0 1],0.11533617530869777,0
1,[0 0 1 1],0.5473735366226566,0
0,[1 1 1 0],-0.08523357204479065,0
0,[1 1 0 1],-0.11893175219515989,0
0,[1 1 0 1],-0.13168533612886835,0
1,[0 0 1 1],0.11588768158711882,0
0,[1 1 1 0],-0.3957098587631527,0
0,[1 1 1 0],-0.04754853111528931,0
0,[1 1 1 0],-0.6233871598035883,0
1,[1 1 0 1],0.39374828946429097,0
1,[0 0 1 1],-0.6670014742366963,0
1,[0 0 1 1],1.7787605055818485,0
0,[1 1 1 0],0.3786502771486877,0
0,[1 1 1 0],1.073990113155235,0
0,[1 1 1 0],0.21466756780355878,0
1,[0 0 1 1],1.1794251620472411,0
1,[1 1 0 1],-0.36471939244358126,0
0,[1 1 1 0],0.12299786988518796,0
0,[1 1 0 1],-0.2612928375650739,0
1,[1 1 0 1],-0.4081387778885801,0
0,[1 1 1 0],0.4059187437324429,0
0,[1 1 1 0],0.030899072581268436,0
1,[0 0 1 1],-0.8052760613841682,0
0,[1 1 0 1],-0.40797736314550226,0
0,[1 1 0 1],0.8462980776343793,0
0,[1 1 1 0],-0.6735843711435638,0
0,[1 1 0 1],-0.9620821334234007,0
1,[0 0 1 1],0.53032313208484,0
0,[1 1 0 1],-0.11009731101048723,0
1,[0 0 1 1],-0.20102252878306381,0
1,[0 0 1 1],0.14493251182766437,0
1,[0 0 1 1],-0.31744198441952676,0
1,[0 0 1 1],-0.12052822372590993,0
0,[1 1 1 0],0.41724823621897217,0
0,[1 1 1 0],-0.11265012320445092,0
0,[1 1 1 0],-0.23562008133686618,0
1,[0 0 1 1],1.034037850599304,0
1,[0 0 1 1],0.2623125804668132,0
1,[0 0 1 1],-0.5617974805306929,0
1,[1 1 0 1],0.0459637306340618,0
1,[1 1 0 1],0.23248640738155152,0
0,[0 0 1 1],1.0188765682851668,1
1,[1 1 0 1],1.4238531122165625,1
0,[0 0 1 1],1.3674092507398505,1
0,[0 0 1 1],0.825818193555925,1
0,[1 1 1 0],1.3839439092902281,1
0,[1 1 0 1],1.6061061003123127,1
1,[1 1 1 0],1.348607487561276,1
1,[1 1 1 0],1.0430070672788285,1
1,[1 1 1 0],1.0612460318397678,1
1,[1 1 0 1],0.28633562097814536,1
0,[0 0 1 1],0.9347720240536646,1
1,[1 1 1 0],0.8242700074911355,1
0,[1 1 0 1],1.9991510175435336,1
0,[1 1 0 1],2.266264422180017,1
0,[0 0 1 1],0.1770095039270072,1
1,[1 1 1 0],0.6141466919261713,1
1,[1 1 1 0],1.6155167534634194,1
1,[1 1 1 0],0.2705143040042426,1
1,[1 1 0 1],1.4741871808414544,1
0,[0 0 1 1],-0.5688033025819488,1
0,[0 0 1 1],0.7648520177364959,1
1,[1 1 1 0],0.8903872851371771,1
1,[1 1 1 0],3.116487843291794,1
1,[1 1 1 0],1.369756783477346,1
0,[0 0 1 1],1.9004719247496913,1
1,[1 1 0 1],2.290834265198257,1
1,[1 1 1 0],2.547289196374412,1
0,[1 1 0 1],1.186569835382623,1
1,[1 1 0 1],0.6342801931920486,1
1,[1 1 1 0],0.9867354012579614,1
1,[1 1 1 0],0.971783927707214,1
0,[0 0 1 1],0.21962717513843322,1
0,[1 1 0 1],2.84719381643537,1
0,[1 1 0 1],-0.25715739118525804,1
1,[1 1 1 0],0.5346918060512704,1
0,[1 1 0 1],1.4284634067813582,1
0,[0 0 1 1],1.001861614111437,1
0,[1 1 0 1],1.0919823126326478,1
0,[0 0 1 1],1.4330969684218093,1
0,[0 0 1 1],0.6509599023687856,1
0,[0 0 1 1],0.6123023970147371,1
