rewards,stimuli,actions,sub
0,[0 0 1 1],1.6809570408291483,0
1,[1 1 0 1],0.9979612208974615,0
0,[0 0 1 1],-0.4988421703719328,0
0,[0 0 1 1],0.824506672718412,0
0,[1 1 1 0],0.5756435024676816,0
0,[1 1 0 1],0.85871737141771,0
1,[1 1 1 0],0.437601862965278,0
1,[1 1 1 0],0.7334415562033844,0
1,[1 1 1 0],0.8745875989605456,0
1,[1 1 0 1],0.1533362203065759,0
0,[0 0 1 1],0.7689026568326737,0
1,[1 1 1 0],0.7147219225244605,0
0,[1 1 0 1],0.3104094212965489,0
0,[1 1 0 1],0.7789064168063123,0
0,[0 0 1 1],0.403937219322279,0
1,[1 1 1 0],0.9986437255741312,0
1,[1 1 1 0],0.9015765821655344,0
1,[1 1 1 0],0.6894121240895208,0
1,[1 1 0 1],1.8265431686289624,0
0,[0 0 1 1],1.1914769688560314,0
0,[0 0 1 1],-0.8137956672394637,0
1,[1 1 1 0],1.4215725308864349,0
1,[1 1 1 0],0.4470784498887685,0
1,[1 1 1 0],0.9532829740086671,0
0,[0 0 1 1],-0.1787088502867311,0
1,[1 1 0 1],0.8762238189569114,0
1,[1 1 1 0],-0.16295248763419812,0
0,[1 1 0 1],0.46876759767126286,0
1,[1 1 0 1],1.2275236353852752,0
1,[1 1 1 0],0.8203485220285469,0
1,[1 1 1 0],0.7480211686208,0
0,[0 0 1 1],-0.3059654173966487,0
0,[1 1 0 1],0.19475593554848314,0
0,[1 1 0 1],1.3157266771379164,0
1,[1 1 1 0],0.7301150839104558,0
0,[1 1 0 1],0.08515239692807952,0
0,[0 0 1 1],-0.42646465442809445,0
0,[1 1 0 1],0.47034945527812233,0
0,[0 0 1 1],-0.21964050587740044,0
0,[0 0 1 1],0.25553617609898605,0
0,[0 0 1 1],-1.0558893896395003,0
0,[0 0 1 1],0.9130562963412404,0
1,[1 1 1 0],1.094973181373996,0
1,[1 1 1 0],-0.6896413812264317,0
1,[1 1 1 0],-0.011984804755358902,0
0,[0 0 1 1],0.06668193795905694,0
0,[0 0 1 1],0.46917943288296265,0
1,[0 0 1 1],0.26584479562815244,0
1,[1 1 0 1],0.1953010748977066,0
1,[1 1 0 1],2.0074255756095676,0
1,[0 0 1 1],0.3253549568130127,0
1,[1 1 0 1],1.1341660985079496,0
0,[0 0 1 1],0.42968472293509746,0
1,[0 0 1 1],0.8481421896690626,0
0,[1 1 1 0],2.390453033380604,0
0,[1 1 0 1],0.37868549349120373,0
0,[1 1 1 0],0.7285268089526815,0
0,[1 1 1 0],2.1611494174779127,0
0,[1 1 1 0],-0.11326572562532827,0
