rewards,stimuli,actions,sub
0,[0 0 1 1],-0.2831479617725421,0
1,[1 1 0 1],7.989484107688312,0
0,[0 0 1 1],7.866244078777008,0
0,[0 0 1 1],6.784745002498665,0
0,[1 1 1 0],10.115646653554013,0
0,[1 1 0 1],7.648945333720539,0
1,[1 1 1 0],6.047426332828004,0
1,[1 1 1 0],6.480626109158738,0
1,[1 1 1 0],8.058862436025068,0
1,[1 1 0 1],10.785209922343219,0
0,[0 0 1 1],3.9583724559019977,0
1,[1 1 1 0],3.7927650355159956,0
0,[1 1 0 1],7.392840959560987,0
0,[1 1 0 1],3.051167596900923,0
0,[0 0 1 1],8.310145586469226,0
1,[1 1 1 0],6.336350789924044,0
1,[1 1 1 0],1.922631014689097,0
1,[1 1 1 0],6.161004370036321,0
1,[1 1 0 1],4.309123475600317,0
0,[0 0 1 1],8.756067883914126,0
0,[0 0 1 1],7.94843651415746,0
1,[1 1 1 0],7.326591409186205,0
1,[1 1 1 0],7.2745792049843185,0
1,[1 1 1 0],5.70478575866648,0
0,[0 0 1 1],6.228705740418193,0
1,[1 1 0 1],15.497996470348394,0
1,[1 1 1 0],4.954630638680108,0
0,[1 1 0 1],12.372958797864104,0
1,[1 1 0 1],9.866661981507665,0
1,[1 1 1 0],11.120348122982517,0
1,[1 1 1 0],3.4339318706024935,0
0,[0 0 1 1],7.66544746750356,0
0,[1 1 0 1],7.461489781127995,0
0,[1 1 0 1],3.271976012045211,0
1,[1 1 1 0],6.928820500890612,0
0,[1 1 0 1],9.426680777634196,0
0,[0 0 1 1],7.101856995072655,0
0,[1 1 0 1],6.800919231352311,0
0,[0 0 1 1],9.908139552344805,0
0,[0 0 1 1],7.926422452237737,0
0,[0 0 1 1],11.608885833059553,0
0,[0 0 1 1],9.670905823442961,0
1,[1 1 1 0],9.47780580225739,0
1,[1 1 1 0],3.4953213012621287,0
1,[1 1 1 0],7.420656383952808,0
0,[0 0 1 1],4.547110786402904,0
0,[0 0 1 1],9.910130202882868,0
1,[0 0 1 1],10.420587220792818,0
1,[1 1 0 1],5.371143736945315,0
1,[1 1 0 1],-1.969998200021335,0
1,[0 0 1 1],6.285153834346823,0
1,[1 1 0 1],10.106217942014752,0
0,[0 0 1 1],9.643499310238552,0
1,[0 0 1 1],6.4513097430609525,0
0,[1 1 1 0],12.879213794098312,0
0,[1 1 0 1],4.800932080637275,0
0,[1 1 1 0],8.313876818195212,0
0,[1 1 1 0],1.7215708521482185,0
0,[1 1 1 0],5.915145753005466,0
1,[1 1 0 1],4.22975444684058,0
1,[0 0 1 1],5.695908953090644,0
0,[1 1 1 0],6.007988128870932,0
0,[1 1 0 1],5.672550146563727,0
0,[1 1 0 1],7.59476495417548,0
1,[0 0 1 1],4.122843011489697,0
0,[1 1 1 0],10.127954051487178,0
0,[1 1 1 0],9.12486173957721,0
0,[1 1 1 0],4.719850481787313,0
1,[1 1 0 1],7.039170931533376,0
1,[0 0 1 1],7.331030033310516,0
1,[0 0 1 1],5.13278800580938,0
0,[1 1 1 0],10.873999844118101,0
0,[1 1 1 0],9.768237861182163,0
0,[1 1 1 0],3.6298306853458793,0
1,[0 0 1 1],11.897508651098871,0
1,[1 1 0 1],11.25377964769973,0
0,[1 1 1 0],4.9331548840037645,0
0,[1 1 0 1],8.123052143410739,0
1,[1 1 0 1],9.047341671505905,0
0,[1 1 1 0],9.812122353718365,0
0,[1 1 1 0],4.145360833272063,0
1,[0 0 1 1],9.252793926415286,0
0,[1 1 0 1],9.101001753855188,0
0,[1 1 0 1],6.882371347286425,0
0,[1 1 1 0],5.0277141165698644,0
0,[1 1 0 1],9.015949376924482,0
1,[0 0 1 1],9.962408793118598,0
0,[1 1 0 1],8.923294988860034,0
1,[0 0 1 1],9.273665808346312,0
1,[0 0 1 1],9.496836357938609,0
1,[0 0 1 1],3.074630201185388,0
1,[0 0 1 1],8.369443238080782,0
0,[1 1 1 0],5.202696338542197,0
0,[1 1 1 0],6.5954370022940685,0
0,[1 1 1 0],9.589907851455635,0
1,[0 0 1 1],8.125683126043896,0
1,[0 0 1 1],11.066231164052205,0
1,[0 0 1 1],7.437394314900121,0
1,[1 1 0 1],9.278814078712108,0
1,[1 1 0 1],8.03429102076928,0
0,[0 0 1 1],16.414564017432674,1
1,[1 1 0 1],10.66196134398216,1
0,[0 0 1 1],4.120300775649272,1
0,[0 0 1 1],10.391974416127852,1
0,[1 1 1 0],8.319895760962584,1
0,[1 1 0 1],7.883964202573755,1
1,[1 1 1 0],1.2337671667151027,1
1,[1 1 1 0],4.875401935068134,1
1,[1 1 1 0],0.20531506577138625,1
1,[1 1 0 1],0.49947930813528996,1
0,[0 0 1 1],-4.930136326756021,1
1,[1 1 1 0],2.832443257310928,1
0,[1 1 0 1],5.879025607683307,1
0,[1 1 0 1],-5.843521866464202,1
0,[0 0 1 1],0.9933346357555692,1
1,[1 1 1 0],-2.771382243188768,1
1,[1 1 1 0],-2.1209807023556992,1
1,[1 1 1 0],3.3063334987474433,1
1,[1 1 0 1],4.590321884714314,1
0,[0 0 1 1],-5.338852300888409,1
0,[0 0 1 1],-6.678223750517451,1
1,[1 1 1 0],-10.111217980308528,1
1,[1 1 1 0],-1.7590615982008337,1
1,[1 1 1 0],4.331191500229715,1
0,[0 0 1 1],-0.2530266135162771,1
1,[1 1 0 1],7.786609653119201,1
1,[1 1 1 0],2.319200854577529,1
0,[1 1 0 1],0.13151477781935883,1
1,[1 1 0 1],9.13615720797212,1
1,[1 1 1 0],5.007495957785791,1
1,[1 1 1 0],1.8544746239141652,1
0,[0 0 1 1],2.0974797102487615,1
0,[1 1 0 1],-8.604335304521388,1
0,[1 1 0 1],-3.8736589427741244,1
1,[1 1 1 0],-3.233102237712659,1
0,[1 1 0 1],3.6588553576677416,1
0,[0 0 1 1],0.9093524874248866,1
0,[1 1 0 1],7.067383567190687,1
0,[0 0 1 1],7.270401077547301,1
0,[0 0 1 1],4.470295670893657,1
0,[0 0 1 1],10.733919620310996,1
0,[0 0 1 1],2.8860568527941157,1
1,[1 1 1 0],6.181074352131679,1
1,[1 1 1 0],4.731091585614887,1
1,[1 1 1 0],4.87125467919517,1
0,[0 0 1 1],4.573342647685279,1
0,[0 0 1 1],0.7220448272246431,1
1,[0 0 1 1],-10.01263383806285,1
1,[1 1 0 1],3.411013725891202,1
1,[1 1 0 1],3.8164545220721044,1
1,[0 0 1 1],9.255007323596697,1
1,[1 1 0 1],-7.620960381548321,1
0,[0 0 1 1],-3.788829071717112,1
1,[0 0 1 1],6.432416973244324,1
0,[1 1 1 0],1.0620996580982065,1
0,[1 1 0 1],-1.998840070375107,1
0,[1 1 1 0],1.8240487350917574,1
0,[1 1 1 0],-4.556040706351484,1
0,[1 1 1 0],6.52420615236419,1
1,[1 1 0 1],2.6612852802993903,1
1,[0 0 1 1],-2.734558830046568,1
0,[1 1 1 0],-1.6968098579678133,1
0,[1 1 0 1],2.7036343413149195,1
0,[1 1 0 1],8.764361980437172,1
1,[0 0 1 1],8.270015349532366,1
0,[1 1 1 0],10.777368966977424,1
0,[1 1 1 0],3.057874317363683,1
0,[1 1 1 0],7.706208944409499,1
1,[1 1 0 1],5.527339441292934,1
1,[0 0 1 1],1.087604441548335,1
1,[0 0 1 1],3.655274309109279,1
0,[1 1 1 0],0.13807218063583626,1
0,[1 1 1 0],-2.350051124945839,1
0,[1 1 1 0],8.445521248474662,1
1,[0 0 1 1],-4.453902796061762,1
1,[1 1 0 1],11.26836596074487,1
0,[1 1 1 0],8.99399492475829,1
0,[1 1 0 1],12.277863028362557,1
1,[1 1 0 1],7.9066867864132195,1
0,[1 1 1 0],-3.9876989138565326,1
0,[1 1 1 0],-9.713492555971772,1
1,[0 0 1 1],-2.9592359295320554,1
0,[1 1 0 1],4.078332666067247,1
0,[1 1 0 1],7.422437191166304,1
0,[1 1 1 0],4.679071944616077,1
0,[1 1 0 1],-1.8563181211320572,1
1,[0 0 1 1],9.88900668016726,1
0,[1 1 0 1],8.252513020033597,1
1,[0 0 1 1],-1.2476095127208522,1
1,[0 0 1 1],10.84865943769718,1
1,[0 0 1 1],0.32046902423742774,1
1,[0 0 1 1],-4.283530259620088,1
0,[1 1 1 0],0.18837604712862221,1
0,[1 1 1 0],-2.6420895809606426,1
0,[1 1 1 0],3.2440234543514075,1
1,[0 0 1 1],8.991429448878254,1
1,[0 0 1 1],-1.9478623882104111,1
1,[0 0 1 1],-1.6646492792952343,1
1,[1 1 0 1],2.2745908657136025,1
1,[1 1 0 1],11.459460505740221,1
0,[0 0 1 1],6.926722986470141,2
1,[1 1 0 1],3.032684778347714,2
0,[0 0 1 1],14.197322052089957,2
0,[0 0 1 1],9.683706655984226,2
0,[1 1 1 0],3.9478735189248026,2
0,[1 1 0 1],14.406553685424125,2
1,[1 1 1 0],9.172680360927828,2
1,[1 1 1 0],5.938711507622386,2
