rewards,stimuli,actions,sub
0,[0 0 1 1],0.887487957653025,0
1,[1 1 0 1],0.5332717916498662,0
0,[0 0 1 1],0.35975238055731307,0
0,[0 0 1 1],0.7067234176869167,0
0,[1 1 1 0],0.8381763397645657,0
0,[1 1 0 1],0.990437645395614,0
1,[1 1 1 0],0.6667804161332995,0
1,[1 1 1 0],0.840866221018176,0
1,[1 1 1 0],0.8988780085882273,0
1,[1 1 0 1],0.18877391099193436,0
0,[0 0 1 1],0.2262688819776061,0
1,[1 1 1 0],1.0152658140261266,0
0,[1 1 0 1],1.23171524949064,0
0,[1 1 0 1],0.7184900324851602,0
0,[0 0 1 1],-0.07451434225489795,0
1,[1 1 1 0],0.34936492403686764,0
1,[1 1 1 0],0.7859665352623639,0
1,[1 1 1 0],0.7953447315565316,0
1,[1 1 0 1],0.008130590230283952,0
0,[0 0 1 1],0.16698785555873824,0
0,[0 0 1 1],-0.5276259494410671,0
1,[1 1 1 0],1.0753362330770944,0
1,[1 1 1 0],0.9150899426620456,0
1,[1 1 1 0],1.0707051710083022,0
0,[0 0 1 1],0.6172364861784877,0
1,[1 1 0 1],0.7751072297341641,0
1,[1 1 1 0],0.8143706744038345,0
0,[1 1 0 1],0.5645365475456039,0
1,[1 1 0 1],0.1038734746610673,0
1,[1 1 1 0],0.951747520692442,0
1,[1 1 1 0],0.6870321474720571,0
0,[0 0 1 1],0.0023441803229831693,0
0,[1 1 0 1],0.3895095949371255,0
0,[1 1 0 1],1.0978804127579465,0
1,[1 1 1 0],0.4025703235722951,0
0,[1 1 0 1],-0.5675100704799485,0
0,[0 0 1 1],0.07391377249135148,0
0,[1 1 0 1],-0.1467665228477985,0
0,[0 0 1 1],0.2676684004211456,0
0,[0 0 1 1],0.3924130074523033,0
0,[0 0 1 1],0.36816904415357193,0
0,[0 0 1 1],0.7648320530836579,0
1,[1 1 1 0],1.3147598522017958,0
1,[1 1 1 0],0.19963556062138277,0
1,[1 1 1 0],0.48747937867952024,0
0,[0 0 1 1],0.20846762745814154,0
0,[0 0 1 1],0.3878249759726061,0
1,[0 0 1 1],0.519353312126941,0
1,[1 1 0 1],1.02307113542458,0
1,[1 1 0 1],0.36982594841767363,0
1,[0 0 1 1],0.37703505064908016,0
1,[1 1 0 1],1.0119928743748567,0
0,[0 0 1 1],0.4502917300132889,0
1,[0 0 1 1],1.1603702862300036,0
0,[1 1 1 0],1.5945556790137623,0
0,[1 1 0 1],0.7050619224789755,0
0,[1 1 1 0],0.34093410924807216,0
0,[1 1 1 0],0.36782393318259554,0
0,[1 1 1 0],0.3532252046178782,0
1,[1 1 0 1],0.14775087076682886,0
1,[0 0 1 1],0.805016092062735,0
0,[1 1 1 0],0.735824468834259,0
0,[1 1 0 1],0.5919415441721433,0
0,[1 1 0 1],0.5086655367479946,0
1,[0 0 1 1],0.31639559194213945,0
0,[1 1 1 0],0.46976064607923484,0
0,[1 1 1 0],0.1596021613467783,0
0,[1 1 1 0],0.4263460258967137,0
1,[1 1 0 1],0.04909136024410188,0
1,[0 0 1 1],0.878265023744981,0
1,[0 0 1 1],0.7405323215061952,0
0,[1 1 1 0],0.632877550192689,0
0,[1 1 1 0],0.11795041252537132,0
0,[1 1 1 0],0.4644030326046493,0
1,[0 0 1 1],0.45757257686850805,0
1,[1 1 0 1],0.761401388810583,0
0,[1 1 1 0],0.21221145307136238,0
0,[1 1 0 1],0.8777987686422668,0
1,[1 1 0 1],0.4362277016695329,0
0,[1 1 1 0],0.4421859603579894,0
0,[1 1 1 0],0.06747246906497548,0
1,[0 0 1 1],0.8227576534874848,0
0,[1 1 0 1],0.9626427772184885,0
0,[1 1 0 1],0.3143357837907706,0
0,[1 1 1 0],-0.40731210375913,0
0,[1 1 0 1],0.48737731110930016,0
1,[0 0 1 1],0.7674975049942944,0
0,[1 1 0 1],0.5477654199027402,0
1,[0 0 1 1],0.2643301416531382,0
1,[0 0 1 1],0.7610968511127222,0
1,[0 0 1 1],0.5599789431953723,0
1,[0 0 1 1],0.819269959099118,0
0,[1 1 1 0],0.06306172685177433,0
0,[1 1 1 0],0.17514761147793928,0
0,[1 1 1 0],-0.15655209399960157,0
1,[0 0 1 1],0.6379492486015066,0
1,[0 0 1 1],0.395596992856031,0
1,[0 0 1 1],0.709255174840723,0
1,[1 1 0 1],0.1898149434521322,0
1,[1 1 0 1],0.49474558293593185,0
0,[0 0 1 1],1.479315475152158,1
1,[1 1 0 1],1.49899048963152,1
0,[0 0 1 1],1.4697663631977236,1
0,[0 0 1 1],0.7902646924697057,1
0,[1 1 1 0],0.9982497174449187,1
0,[1 1 0 1],0.9971093744482451,1
1,[1 1 1 0],0.5919533036829762,1
1,[1 1 1 0],1.1021845548266807,1
1,[1 1 1 0],1.7362747907728986,1
1,[1 1 0 1],0.7011590971531642,1
0,[0 0 1 1],1.2481964726425798,1
1,[1 1 1 0],0.864340177804085,1
0,[1 1 0 1],1.573200369924153,1
0,[1 1 0 1],-0.18844132932520813,1
0,[0 0 1 1],-0.7716461558353022,1
1,[1 1 1 0],0.7198370039977857,1
1,[1 1 1 0],0.8685957198532767,1
1,[1 1 1 0],1.2821997473152367,1
1,[1 1 0 1],0.6689107679134129,1
0,[0 0 1 1],0.4937370237729791,1
0,[0 0 1 1],0.8866347279772417,1
1,[1 1 1 0],1.6696638055701962,1
1,[1 1 1 0],0.6831536835986252,1
1,[1 1 1 0],0.8997533183662689,1
0,[0 0 1 1],0.24129275266880446,1
1,[1 1 0 1],0.6480453163423755,1
1,[1 1 1 0],0.603048804944704,1
0,[1 1 0 1],1.3365934888359,1
1,[1 1 0 1],0.5775561782058978,1
1,[1 1 1 0],0.6258763878675742,1
1,[1 1 1 0],1.0916183934203048,1
0,[0 0 1 1],0.5768921246031729,1
0,[1 1 0 1],0.8009640151664394,1
0,[1 1 0 1],0.02379738269300713,1
1,[1 1 1 0],1.0410655930459294,1
0,[1 1 0 1],0.6364804981878573,1
0,[0 0 1 1],-0.09468406560285725,1
0,[1 1 0 1],0.36929676987845583,1
0,[0 0 1 1],0.5098444219517071,1
0,[0 0 1 1],0.4546226609502775,1
0,[0 0 1 1],0.23680521486432354,1
0,[0 0 1 1],0.7286420457188034,1
1,[1 1 1 0],0.40044904965821504,1
1,[1 1 1 0],1.8164017360759384,1
1,[1 1 1 0],1.2042403875668604,1
0,[0 0 1 1],0.055197290509745756,1
0,[0 0 1 1],-0.07822366779378354,1
1,[0 0 1 1],0.4233364005661055,1
1,[1 1 0 1],0.7760626557281395,1
1,[1 1 0 1],1.0169734922605076,1
1,[0 0 1 1],0.6299462833279094,1
1,[1 1 0 1],1.3072376089175684,1
0,[0 0 1 1],1.0461892972577034,1
1,[0 0 1 1],0.20901344608314537,1
0,[1 1 1 0],1.5962662193453414,1
0,[1 1 0 1],0.2570257430737495,1
0,[1 1 1 0],0.26314834145793004,1
0,[1 1 1 0],0.4081574171281531,1
0,[1 1 1 0],0.5798439140781785,1
1,[1 1 0 1],-0.17331748133945002,1
1,[0 0 1 1],1.3159370173645384,1
0,[1 1 1 0],-0.08015664812846124,1
0,[1 1 0 1],1.0325169632872904,1
0,[1 1 0 1],0.40569540787816005,1
1,[0 0 1 1],1.293773116489002,1
0,[1 1 1 0],0.8147505189565225,1
0,[1 1 1 0],0.6519306222730641,1
0,[1 1 1 0],0.31040096441955384,1
1,[1 1 0 1],0.605428758645814,1
1,[0 0 1 1],0.9484069270439619,1
1,[0 0 1 1],0.2908082690214693,1
0,[1 1 1 0],0.5055876346785144,1
0,[1 1 1 0],0.38509428602011553,1
0,[1 1 1 0],0.1899266159436815,1
1,[0 0 1 1],1.0706510386355084,1
1,[1 1 0 1],1.2836089509161304,1
0,[1 1 1 0],-0.017358653654514944,1
0,[1 1 0 1],1.1534211582577196,1
1,[1 1 0 1],0.4881984344652745,1
0,[1 1 1 0],-0.1265675210927622,1
0,[1 1 1 0],0.023454442999257585,1
1,[0 0 1 1],1.010250412252696,1
0,[1 1 0 1],1.3506086398587551,1
0,[1 1 0 1],1.0554079775679102,1
0,[1 1 1 0],-0.8953047675766254,1
0,[1 1 0 1],0.2563093582839553,1
1,[0 0 1 1],0.7495855305459662,1
0,[1 1 0 1],0.7732434881650625,1
1,[0 0 1 1],0.798287780030597,1
1,[0 0 1 1],0.6788718861712224,1
1,[0 0 1 1],1.3076169833139137,1
1,[0 0 1 1],0.7408040702714158,1
0,[1 1 1 0],0.3575670320069165,1
0,[1 1 1 0],0.551237218516817,1
0,[1 1 1 0],0.4745130752777927,1
1,[0 0 1 1],0.6101518684725462,1
1,[0 0 1 1],0.7910508795618181,1
1,[0 0 1 1],0.738808996599601,1
1,[1 1 0 1],0.5664917847551213,1
1,[1 1 0 1],1.1404291960305661,1
0,[0 0 1 1],0.6567476212546131,2
1,[1 1 0 1],0.7443298147072579,2
0,[0 0 1 1],0.6961409875269503,2
0,[0 0 1 1],0.37022801362632773,2
0,[1 1 1 0],0.8900387955768538,2
0,[1 1 0 1],0.6768090740436179,2
1,[1 1 1 0],0.19801998539446003,2
1,[1 1 1 0],1.038292039837377,2
1,[1 1 1 0],0.9063116009348047,2
1,[1 1 0 1],0.667216196116793,2
0,[0 0 1 1],0.48562960551556866,2
1,[1 1 1 0],0.7588940886205325,2
0,[1 1 0 1],0.7266914042611017,2
0,[1 1 0 1],0.7593133434728938,2
0,[0 0 1 1],0.6474026300543199,2
1,[1 1 1 0],0.9124311883370623,2
1,[1 1 1 0],1.2515072859692455,2
1,[1 1 1 0],0.9988673544544864,2
1,[1 1 0 1],0.6925233069765937,2
0,[0 0 1 1],0.3803292804146122,2
0,[0 0 1 1],0.5579805563544995,2
1,[1 1 1 0],1.0054510536670158,2
1,[1 1 1 0],0.8740583920284188,2
1,[1 1 1 0],1.0479791136677308,2
0,[0 0 1 1],0.4873015569251016,2
1,[1 1 0 1],1.0045508971546788,2
1,[1 1 1 0],1.1255884811348051,2
0,[1 1 0 1],1.4597127623585617,2
1,[1 1 0 1],0.43531343712497966,2
1,[1 1 1 0],1.0441325556397887,2
1,[1 1 1 0],1.3111367719076725,2
0,[0 0 1 1],0.2923623346857561,2
0,[1 1 0 1],0.9300648502115498,2
0,[1 1 0 1],0.5974907390077019,2
1,[1 1 1 0],1.0458328249055997,2
0,[1 1 0 1],0.46883298597451,2
0,[0 0 1 1],0.6594060891546151,2
0,[1 1 0 1],0.3831334502391216,2
0,[0 0 1 1],0.5221082427993138,2
0,[0 0 1 1],0.2809021386695487,2
0,[0 0 1 1],0.4258428714460912,2
0,[0 0 1 1],0.2130872608872248,2
1,[1 1 1 0],1.0167961118562825,2
1,[1 1 1 0],1.1065494580030002,2
1,[1 1 1 0],1.1033299628258277,2
0,[0 0 1 1],0.32303209717272363,2
0,[0 0 1 1],0.741696728720366,2
1,[0 0 1 1],0.5424359316301268,2
1,[1 1 0 1],0.7518444147023137,2
1,[1 1 0 1],0.9625824668239022,2
1,[0 0 1 1],0.9166245409824602,2
1,[1 1 0 1],1.0761501996828795,2
0,[0 0 1 1],0.5950000017463758,2
1,[0 0 1 1],0.4199863355001585,2
0,[1 1 1 0],1.3618332670335451,2
0,[1 1 0 1],0.834392030244989,2
0,[1 1 1 0],0.3666004833127956,2
0,[1 1 1 0],0.9604319284342944,2
0,[1 1 1 0],0.22764814529619187,2
1,[1 1 0 1],0.48518556803259477,2
1,[0 0 1 1],1.0708465354470809,2
0,[1 1 1 0],0.7275301355689449,2
