rewards,stimuli,actions,sub
0,[0 0 1 1],0.5750229107225898,0
1,[1 1 0 1],1.7255650714545574,0
0,[0 0 1 1],0.4357738038425861,0
0,[0 0 1 1],0.4233815709595938,0
0,[1 1 1 0],0.47172606198033606,0
0,[1 1 0 1],0.6403697290399524,0
1,[1 1 1 0],0.458403242978724,0
1,[1 1 1 0],1.2696300010879304,0
1,[1 1 1 0],-0.6041463635701018,0
1,[1 1 0 1],2.8883052446184143,0
0,[0 0 1 1],-0.9479887991929448,0
1,[1 1 1 0],1.488332464913721,0
0,[1 1 0 1],1.417281955794186,0
0,[1 1 0 1],2.5852334927685923,0
0,[0 0 1 1],-1.78429198845375,0
1,[1 1 1 0],0.8982528570103535,0
1,[1 1 1 0],2.4575997676276646,0
1,[1 1 1 0],-0.2912274706713345,0
1,[1 1 0 1],6.515788857709008,0
0,[0 0 1 1],-1.5225454831089347,0
0,[0 0 1 1],0.06322642251674504,0
1,[1 1 1 0],1.1328900266713564,0
1,[1 1 1 0],-2.5928412582674465,0
1,[1 1 1 0],8.729958737875075,0
0,[0 0 1 1],-13.13107895653526,0
1,[1 1 0 1],10.239226606149941,0
1,[1 1 1 0],15.665530927740594,0
0,[1 1 0 1],-10.14669852362216,0
1,[1 1 0 1],-4.433273678430705,0
1,[1 1 1 0],13.062939178928154,0
1,[1 1 1 0],10.125850739172913,0
0,[0 0 1 1],-16.919114698846514,0
0,[1 1 0 1],-8.488204270954265,0
0,[1 1 0 1],3.529013620489132,0
1,[1 1 1 0],-4.139364360139872,0
0,[1 1 0 1],49.08613843164202,0
0,[0 0 1 1],-84.92992976936821,0
0,[1 1 0 1],47.47944545747636,0
0,[0 0 1 1],118.4639617681729,0
0,[0 0 1 1],-160.01961420772622,0
0,[0 0 1 1],155.7697515626994,0
0,[0 0 1 1],-148.72139802791656,0
1,[1 1 1 0],142.5547194646413,0
1,[1 1 1 0],-192.2955558770496,0
1,[1 1 1 0],377.24771795341786,0
0,[0 0 1 1],-726.4900230310186,0
0,[0 0 1 1],399.2223070597878,0
1,[0 0 1 1],-383.0543018198134,0
1,[1 1 0 1],370.81377273701327,0
